date,rookery,section,obs,resample,count
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,1
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,3
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,4
8/22/16,ERE,1,JDB,2,1
8/22/16,ERE,1,JDB,2,0
8/22/16,ERE,1,JDB,2,3
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,3
8/22/16,ERE,1,JDB,2,4
8/22/16,ECL,1,JTS,2,5
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,4
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,4
8/22/16,ECL,1,JTS,2,0
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,3
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,4
8/22/16,ECL,1,JTS,2,3
8/22/16,ECL,1,JTS,2,1
8/22/16,ECL,1,JTS,2,1
8/22/16,ECL,1,JTS,2,1
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,1
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,1,JTS,2,2
8/22/16,ECL,2,JTS,2,3
8/22/16,ECL,2,JTS,2,4
8/22/16,ECL,2,JTS,2,4
8/22/16,ECL,2,JTS,2,5
8/22/16,ECL,2,JTS,2,1
8/22/16,ECL,2,JTS,2,4
8/22/16,ECL,2,JTS,2,2
8/22/16,ECL,2,JTS,2,1
8/22/16,ECL,2,JTS,2,4
8/22/16,ECL,2,JTS,2,3
8/22/16,ERE,1,JTS,2,3
8/22/16,ERE,1,JTS,2,3
8/22/16,ERE,1,JTS,2,1
8/22/16,ERE,1,JTS,2,2
8/22/16,ERE,1,JTS,2,1
8/22/16,ERE,1,JTS,2,1
8/22/16,ERE,1,JTS,2,2
